Ethanol,Water,Toluene,,Size,Shape,Color
0,0,1,,2,Circle,Binodal
0.347,0.033,0.62,,2,Circle,Binodal
0.408,0.091,0.501,,2,Circle,Binodal
0.562,0.132,0.306,,2,Circle,Binodal
0.568,0.216,0.215,,2,Circle,Binodal
0.624,0.195,0.181,,2,Circle,Binodal
0.578,0.296,0.126,,2,Circle,Binodal
0.567,0.369,0.064,,2,Circle,Binodal
0.485,0.489,0.026,,2,Circle,Binodal
0,1,0,,2,Circle,Binodal
0.535,0.429,0.051,,2,diamond,The Line 1
0.501,0.3,0.199,,4,square,The Line 1
0.377,0.053,0.57,,2,diamond,The Line 1
0.41,0.546,0.026,,2,diamond,The Line 2
0.414,0.352,0.233,,4,square,The Line 2
0.327,0.033,0.64,,2,diamond,The Line 2
