24/03/2022 11:07:10
Spectrometer: USB2G54090
Integration time (ms): 140.0
Scans averaged: 15

Wavelength,Intensity
350.000,1.731
351.000,1.583
352.000,1.197
353.000,1.259
354.000,0.936
355.000,0.478
356.000,0.559
357.000,0.573
358.000,-2.004
359.000,-3.077
360.000,-5.379
361.000,-6.201
362.000,-9.073
363.000,-14.079
364.000,-20.188
365.000,-26.258
366.000,-39.722
367.000,-50.653
368.000,-69.081
369.000,-83.196
370.000,-94.282
371.000,-104.412
372.000,-126.141
373.000,-134.355
374.000,-133.678
375.000,-136.444
376.000,-125.551
377.000,-113.886
378.000,-103.713
379.000,-91.836
380.000,-77.499
381.000,-66.051
382.000,-54.760
383.000,-47.898
384.000,-37.530
385.000,-33.326
386.000,-29.211
387.000,-17.629
388.000,-17.722
389.000,-14.501
390.000,-12.615
391.000,-9.541
392.000,-7.045
393.000,-7.119
394.000,-5.363
395.000,-3.161
396.000,-2.419
397.000,-1.187
398.000,-0.549
399.000,1.125
400.000,1.629
401.000,3.123
402.000,2.811
403.000,3.240
404.000,3.951
405.000,4.808
406.000,6.294
407.000,5.974
408.000,5.775
409.000,5.849
410.000,7.293
411.000,8.537
412.000,9.093
413.000,10.268
414.000,10.041
415.000,10.053
416.000,11.858
417.000,12.861
418.000,13.925
419.000,14.438
420.000,16.744
421.000,17.992
422.000,20.627
423.000,22.073
424.000,23.732
425.000,26.913
426.000,29.030
427.000,32.159
428.000,32.934
429.000,38.051
430.000,41.726
431.000,46.859
432.000,49.469
433.000,56.962
434.000,62.910
435.000,69.239
436.000,78.094
437.000,84.772
438.000,95.812
439.000,107.574
440.000,118.187
441.000,128.718
442.000,143.639
443.000,161.746
444.000,173.226
445.000,189.328
446.000,209.282
447.000,223.802
448.000,242.175
449.000,254.219
450.000,289.520
451.000,307.202
452.000,325.299
453.000,343.533
454.000,364.157
455.000,391.675
456.000,419.919
457.000,456.331
458.000,478.319
459.000,514.906
460.000,553.230
461.000,589.499
462.000,634.050
463.000,668.288
464.000,708.640
465.000,752.991
466.000,811.460
467.000,859.645
468.000,933.449
469.000,985.801
470.000,1028.403
471.000,1136.033
472.000,1208.656
473.000,1270.738
474.000,1353.117
475.000,1444.842
476.000,1529.757
477.000,1676.220
478.000,1748.812
479.000,1794.960
480.000,1986.879
481.000,2085.354
482.000,2181.258
483.000,2326.863
484.000,2445.328
485.000,2565.849
486.000,2714.669
487.000,2792.357
488.000,2865.264
489.000,3101.604
490.000,3178.100
491.000,3266.492
492.000,3377.354
493.000,3440.519
494.000,3611.846
495.000,3626.764
496.000,3746.958
497.000,3776.815
498.000,3804.904
499.000,3869.023
500.000,3834.896
501.000,3910.502
502.000,3957.443
503.000,3909.549
504.000,3933.508
505.000,3953.955
506.000,3956.917
507.000,3950.701
508.000,3881.137
509.000,3866.160
510.000,3800.598
511.000,3857.045
512.000,3766.161
513.000,3786.812
514.000,3687.632
515.000,3628.996
516.000,3582.609
517.000,3451.258
518.000,3479.718
519.000,3397.414
520.000,3362.632
521.000,3315.292
522.000,3270.214
523.000,3178.665
524.000,3079.040
525.000,3058.447
526.000,2944.100
527.000,2870.267
528.000,2817.752
529.000,2721.381
530.000,2714.306
531.000,2635.316
532.000,2554.440
533.000,2501.640
534.000,2445.176
535.000,2360.572
536.000,2282.206
537.000,2191.320
538.000,2173.585
539.000,2127.628
540.000,2076.413
541.000,2022.682
542.000,1930.008
543.000,1909.079
544.000,1853.677
545.000,1797.868
546.000,1721.906
547.000,1684.519
548.000,1623.832
549.000,1574.434
550.000,1524.343
551.000,1467.326
552.000,1403.812
553.000,1360.843
554.000,1308.065
555.000,1247.772
556.000,1213.288
557.000,1140.950
558.000,1113.839
559.000,1074.200
560.000,1027.330
561.000,994.354
562.000,937.776
563.000,908.390
564.000,871.562
