24/03/2022 11:15:55
Spectrometer: USB2G54090
Integration time (ms): 185.0
Scans averaged: 15

Wavelength,Intensity
350.000,0.482
351.000,2.864
352.000,3.508
353.000,2.216
354.000,2.384
355.000,1.706
356.000,1.373
357.000,2.611
358.000,4.165
359.000,3.553
360.000,3.174
361.000,2.499
362.000,3.335
363.000,3.650
364.000,4.918
365.000,5.102
366.000,8.249
367.000,6.925
368.000,8.569
369.000,9.336
370.000,8.505
371.000,11.050
372.000,9.454
373.000,11.484
374.000,11.000
375.000,11.311
376.000,9.974
377.000,10.312
378.000,10.038
379.000,8.695
380.000,10.610
381.000,10.097
382.000,6.938
383.000,8.609
384.000,3.915
385.000,11.584
386.000,2.883
387.000,10.389
388.000,4.934
389.000,7.199
390.000,5.051
391.000,5.335
392.000,4.550
393.000,4.751
394.000,5.968
395.000,5.419
396.000,3.232
397.000,5.328
398.000,5.175
399.000,6.020
400.000,6.137
401.000,6.209
402.000,5.369
403.000,6.101
404.000,5.448
405.000,6.027
406.000,6.050
407.000,5.965
408.000,6.014
409.000,5.816
410.000,7.130
411.000,7.370
412.000,7.476
413.000,7.899
414.000,9.341
415.000,9.140
416.000,9.847
417.000,9.405
418.000,9.227
419.000,8.608
420.000,10.400
421.000,11.376
422.000,12.596
423.000,12.257
424.000,12.824
425.000,14.051
426.000,15.071
427.000,16.212
428.000,17.619
429.000,19.743
430.000,21.518
431.000,23.226
432.000,23.267
433.000,27.427
434.000,30.313
435.000,33.239
436.000,36.603
437.000,40.758
438.000,44.880
439.000,50.274
440.000,55.360
441.000,57.618
442.000,65.554
443.000,76.084
444.000,83.542
445.000,88.697
446.000,98.054
447.000,105.723
448.000,116.412
449.000,123.732
450.000,140.283
451.000,152.234
452.000,161.096
453.000,174.166
454.000,187.625
455.000,201.185
456.000,214.933
457.000,239.188
458.000,252.240
459.000,275.282
460.000,302.416
461.000,319.576
462.000,350.959
463.000,376.665
464.000,410.044
465.000,438.633
466.000,479.839
467.000,514.667
468.000,568.528
469.000,608.903
470.000,642.596
471.000,719.323
472.000,767.564
473.000,815.854
474.000,881.731
475.000,956.390
476.000,1013.377
477.000,1136.944
478.000,1203.454
479.000,1251.561
480.000,1399.194
481.000,1492.806
482.000,1579.830
483.000,1698.338
484.000,1820.726
485.000,1929.351
486.000,2061.169
487.000,2156.276
488.000,2242.719
489.000,2465.721
490.000,2545.909
491.000,2654.121
492.000,2759.009
493.000,2854.133
494.000,3023.550
495.000,3068.987
496.000,3211.673
497.000,3265.000
498.000,3328.704
499.000,3420.687
500.000,3428.490
501.000,3523.568
502.000,3636.346
503.000,3594.924
504.000,3650.117
505.000,3695.268
506.000,3751.972
507.000,3778.480
508.000,3729.091
509.000,3738.786
510.000,3679.292
511.000,3771.904
512.000,3728.428
513.000,3778.808
514.000,3691.813
515.000,3679.107
516.000,3647.713
517.000,3539.456
518.000,3582.374
519.000,3529.248
520.000,3513.580
521.000,3489.446
522.000,3449.083
523.000,3368.114
524.000,3288.761
525.000,3280.280
526.000,3172.394
527.000,3109.720
528.000,3068.352
529.000,2981.529
530.000,2989.783
531.000,2919.891
532.000,2838.417
533.000,2800.532
534.000,2732.393
535.000,2653.336
536.000,2585.952
537.000,2489.809
538.000,2474.180
539.000,2431.863
540.000,2382.448
541.000,2324.386
542.000,2240.999
543.000,2212.898
544.000,2155.360
545.000,2099.174
546.000,2010.772
547.000,1986.654
548.000,1918.515
549.000,1854.290
550.000,1813.976
551.000,1749.061
552.000,1676.160
553.000,1637.107
554.000,1568.997
555.000,1505.224
556.000,1458.418
557.000,1376.714
558.000,1356.870
559.000,1301.401
560.000,1244.856
561.000,1212.410
562.000,1149.775
563.000,1118.652
564.000,1071.618
565.000,1028.312
566.000,996.185
567.000,945.966
568.000,908.114
569.000,901.306
570.000,853.031
571.000,827.611
572.000,799.353
573.000,768.573
574.000,740.573
575.000,713.291
576.000,692.896
577.000,664.805
578.000,649.766
579.000,620.198
580.000,599.144
581.000,575.313
582.000,551.146
583.000,524.734
584.000,519.826
585.000,498.387
586.000,477.521
587.000,459.477
588.000,443.498
589.000,428.187
590.000,413.557
591.000,402.057
592.000,385.027
593.000,365.865
594.000,357.912
595.000,340.844
596.000,326.377
597.000,314.452
598.000,304.394
599.000,294.907
600.000,282.037
601.000,269.155
602.000,260.875
603.000,252.183
604.000,241.350
605.000,222.821
606.000,219.064
607.000,207.846
608.000,201.564
609.000,196.475
610.000,185.219
611.000,179.714
612.000,175.361
613.000,180.625
614.000,161.078
615.000,162.608
616.000,148.043
617.000,142.020
618.000,134.960
619.000,130.654
620.000,125.652
621.000,123.091
622.000,125.576
623.000,110.974
624.000,108.158
625.000,105.794
626.000,100.474
627.000,101.085
628.000,94.625
629.000,91.200
630.000,92.298
631.000,85.125
632.000,82.768
633.000,78.840
634.000,119.503
635.000,70.309
636.000,72.715
637.000,68.594
638.000,67.346
639.000,66.512
640.000,62.407
641.000,59.494
642.000,57.047
643.000,55.805
644.000,52.785
645.000,52.957
646.000,48.291
647.000,49.451
648.000,46.655
649.000,43.795
650.000,42.184
651.000,42.755
652.000,42.304
653.000,37.879
654.000,37.329
655.000,35.109
656.000,35.259
657.000,33.997
658.000,33.505
659.000,33.093
660.000,31.096
661.000,29.538
662.000,28.601
663.000,28.665
664.000,25.905
665.000,25.318
666.000,25.648
667.000,22.716
668.000,21.861
669.000,20.776
670.000,19.985
671.000,20.010
672.000,19.011
673.000,17.911
674.000,16.741
675.000,17.171
676.000,16.740
677.000,16.063
678.000,17.025
679.000,15.526
680.000,14.928
681.000,13.227
682.000,11.904
683.000,13.537
684.000,14.861
685.000,13.398
686.000,13.556
687.000,12.822
688.000,9.749
689.000,10.398
690.000,10.936
691.000,10.531
692.000,8.979
693.000,9.342
694.000,8.665
695.000,9.471
696.000,10.453
697.000,7.790
698.000,8.050
699.000,7.754
700.000,8.215
701.000,8.249
702.000,6.900
703.000,7.243
704.000,8.027
705.000,6.522
706.000,5.742
707.000,6.655
708.000,6.350
709.000,6.232
710.000,6.155
711.000,5.555
712.000,7.329
713.000,6.113
714.000,5.464
715.000,5.569
716.000,6.187
717.000,4.045
718.000,3.943
719.000,4.543
720.000,5.040
721.000,5.511
722.000,5.182
723.000,2.855
724.000,3.141
725.000,2.700
726.000,4.852
727.000,4.104
728.000,4.096
729.000,3.168
730.000,2.410
731.000,3.202
732.000,3.203
733.000,3.705
