08/03/2022 10:41:49
Spectrometer: USB2G54089
Integration time (ms): 150.0
Scans averaged: 20

Wavelength,Intensity
350.000,0.794
351.000,-0.248
352.000,-2.162
353.000,0.319
354.000,0.379
355.000,-0.281
356.000,1.679
357.000,-0.754
358.000,-1.348
359.000,-2.423
360.000,-1.295
361.000,-4.809
362.000,-5.983
363.000,-5.327
364.000,-7.299
365.000,-10.148
366.000,-10.633
367.000,-10.588
368.000,-16.012
369.000,-14.071
370.000,-16.971
371.000,-17.196
372.000,-20.207
373.000,-17.648
374.000,-15.545
375.000,-10.631
376.000,-9.268
377.000,-8.050
378.000,-7.296
379.000,-6.888
380.000,-4.256
381.000,-2.270
382.000,-6.125
383.000,-1.442
384.000,-0.160
385.000,-0.216
386.000,0.849
387.000,0.342
388.000,1.292
389.000,-0.035
390.000,-0.522
391.000,2.516
392.000,0.975
393.000,0.934
394.000,2.867
395.000,3.235
396.000,2.966
397.000,6.132
398.000,1.718
399.000,5.670
400.000,3.662
401.000,2.255
402.000,3.651
403.000,4.344
404.000,3.503
405.000,6.078
406.000,3.697
407.000,5.753
408.000,5.882
409.000,8.903
410.000,7.301
411.000,6.746
412.000,7.749
413.000,7.046
414.000,10.753
415.000,11.061
416.000,11.667
417.000,13.155
418.000,12.238
419.000,15.786
420.000,13.784
421.000,16.141
422.000,19.008
423.000,19.677
424.000,22.308
425.000,25.264
426.000,25.445
427.000,27.757
428.000,32.500
429.000,38.295
430.000,41.273
431.000,43.155
432.000,48.277
433.000,54.815
434.000,58.892
435.000,66.260
436.000,70.762
437.000,80.334
438.000,87.684
439.000,94.697
440.000,100.728
441.000,109.934
442.000,120.471
443.000,128.247
444.000,138.875
445.000,150.762
446.000,161.952
447.000,173.243
448.000,180.386
449.000,196.394
450.000,211.591
451.000,221.151
452.000,242.655
453.000,256.732
454.000,274.249
455.000,292.973
456.000,315.757
457.000,334.053
458.000,350.833
459.000,376.166
460.000,396.312
461.000,422.581
462.000,448.589
463.000,470.127
464.000,502.112
465.000,529.328
466.000,552.049
467.000,583.301
468.000,614.541
469.000,644.943
470.000,670.657
471.000,710.509
472.000,740.287
473.000,774.099
474.000,811.404
475.000,860.842
476.000,901.292
477.000,937.299
478.000,985.264
479.000,1032.549
480.000,1088.039
481.000,1167.027
482.000,1224.656
483.000,1247.004
484.000,1315.825
485.000,1350.882
486.000,1445.138
487.000,1519.585
488.000,1559.322
489.000,1594.665
490.000,1644.476
491.000,1741.058
492.000,1740.010
493.000,1773.286
494.000,1805.245
495.000,1818.122
496.000,1818.085
497.000,1858.194
498.000,1846.199
499.000,1869.778
500.000,1823.540
501.000,1845.718
502.000,1826.053
503.000,1803.724
504.000,1772.235
505.000,1790.169
506.000,1767.425
507.000,1721.134
508.000,1687.811
509.000,1673.497
510.000,1638.014
511.000,1635.158
512.000,1594.469
513.000,1571.934
514.000,1550.358
515.000,1514.751
516.000,1477.841
517.000,1458.193
518.000,1430.913
519.000,1398.762
520.000,1369.376
521.000,1348.062
522.000,1302.451
523.000,1273.776
524.000,1238.199
525.000,1207.333
526.000,1174.149
527.000,1131.410
528.000,1101.337
529.000,1074.256
530.000,1046.154
531.000,1017.362
532.000,989.017
533.000,950.523
534.000,924.271
535.000,901.084
536.000,877.251
537.000,846.413
538.000,818.555
539.000,797.188
540.000,773.697
541.000,739.726
542.000,723.681
543.000,699.310
544.000,670.635
545.000,651.780
546.000,630.524
547.000,606.989
548.000,578.751
549.000,559.086
550.000,543.616
551.000,520.573
552.000,505.693
553.000,489.405
554.000,472.839
555.000,444.836
556.000,437.642
557.000,416.220
558.000,403.958
559.000,387.473
560.000,369.473
561.000,361.146
562.000,341.417
563.000,332.132
564.000,322.359
565.000,306.680
566.000,292.701
567.000,282.724
568.000,268.108
569.000,262.791
570.000,250.110
571.000,237.402
572.000,230.266
573.000,221.128
574.000,213.769
575.000,204.134
576.000,193.090
577.000,184.793
578.000,180.949
579.000,171.846
580.000,163.390
581.000,161.552
582.000,152.606
583.000,144.480
584.000,137.855
585.000,134.054
586.000,128.471
587.000,121.630
588.000,119.030
589.000,116.512
590.000,112.024
591.000,104.902
592.000,100.360
593.000,97.695
594.000,94.344
595.000,88.311
596.000,86.156
597.000,84.100
598.000,77.951
599.000,78.214
600.000,73.908
601.000,70.649
602.000,68.825
603.000,67.029
604.000,64.451
605.000,62.973
606.000,56.824
607.000,56.963
608.000,53.398
609.000,52.045
610.000,51.538
611.000,50.458
612.000,44.687
613.000,45.922
614.000,42.967
615.000,39.263
616.000,39.827
617.000,38.201
618.000,37.412
619.000,36.270
620.000,36.293
621.000,32.594
622.000,31.783
623.000,29.712
624.000,29.865
625.000,29.081
626.000,29.656
627.000,26.350
628.000,25.653
629.000,26.062
630.000,21.753
631.000,20.680
632.000,21.619
633.000,20.619
634.000,20.008
635.000,19.684
636.000,20.146
637.000,17.137
638.000,17.259
639.000,16.803
