24/03/2022 10:33:12
Spectrometer: USB2G54090
Integration time (ms): 140.0
Scans averaged: 15

Wavelength,Intensity
350.000,1.151
351.000,-0.675
352.000,0.446
353.000,-0.035
354.000,0.444
355.000,-8.045
356.000,-1.029
357.000,-1.495
358.000,-9.918
359.000,-7.937
360.000,-9.212
361.000,-10.088
362.000,-14.662
363.000,-24.604
364.000,-32.973
365.000,-40.610
366.000,-67.058
367.000,-74.460
368.000,-97.854
369.000,-111.993
370.000,-137.039
371.000,-147.581
372.000,-164.684
373.000,-152.367
374.000,-168.930
375.000,-180.406
376.000,-152.176
377.000,-138.333
378.000,-132.242
379.000,-109.358
380.000,-92.735
381.000,-88.354
382.000,-68.218
383.000,-62.854
384.000,-42.624
385.000,-47.513
386.000,-24.491
387.000,-17.988
388.000,-25.426
389.000,-30.372
390.000,-17.095
391.000,-12.540
392.000,-11.248
393.000,-10.003
394.000,-7.633
395.000,-11.042
396.000,-4.644
397.000,-3.128
398.000,-1.249
399.000,0.557
400.000,0.624
401.000,0.572
402.000,2.948
403.000,0.788
404.000,1.381
405.000,4.636
406.000,6.362
407.000,7.229
408.000,8.145
409.000,9.656
410.000,10.206
411.000,9.154
412.000,12.404
413.000,15.074
414.000,16.229
415.000,17.508
416.000,18.870
417.000,21.401
418.000,21.430
419.000,28.473
420.000,30.614
421.000,28.892
422.000,34.182
423.000,41.110
424.000,46.920
425.000,48.441
426.000,54.844
427.000,61.846
428.000,67.702
429.000,72.349
430.000,79.061
431.000,91.027
432.000,98.447
433.000,97.788
434.000,121.472
435.000,130.667
436.000,145.340
437.000,162.169
438.000,177.679
439.000,198.648
440.000,214.205
441.000,230.142
442.000,258.019
443.000,284.746
444.000,302.986
445.000,328.442
446.000,363.537
447.000,372.421
448.000,405.888
449.000,423.384
450.000,471.669
451.000,499.941
452.000,522.232
453.000,549.549
454.000,580.918
455.000,610.900
456.000,646.542
457.000,692.823
458.000,716.202
459.000,769.985
460.000,821.467
461.000,859.329
462.000,922.797
463.000,954.691
464.000,1013.735
465.000,1057.338
466.000,1140.439
467.000,1182.917
468.000,1279.287
469.000,1330.234
470.000,1375.797
471.000,1504.090
472.000,1584.235
473.000,1637.020
474.000,1730.019
475.000,1819.490
476.000,1892.300
477.000,2053.058
478.000,2140.678
479.000,2164.690
480.000,2357.686
481.000,2444.340
482.000,2528.567
483.000,2667.052
484.000,2767.788
485.000,2873.463
486.000,2996.081
487.000,3051.762
488.000,3088.820
489.000,3309.912
490.000,3345.814
491.000,3406.472
492.000,3477.929
493.000,3515.743
494.000,3630.601
495.000,3606.893
496.000,3690.236
497.000,3678.282
498.000,3653.695
499.000,3685.770
500.000,3618.398
501.000,3660.227
502.000,3691.117
503.000,3588.195
504.000,3574.666
505.000,3552.877
506.000,3541.592
507.000,3513.575
508.000,3401.448
509.000,3350.033
510.000,3234.873
511.000,3278.515
512.000,3178.612
513.000,3167.477
514.000,3052.798
515.000,2989.992
516.000,2930.320
517.000,2803.197
518.000,2789.209
519.000,2718.411
520.000,2670.320
521.000,2614.803
522.000,2558.637
523.000,2475.722
524.000,2387.744
525.000,2347.004
526.000,2247.607
527.000,2174.115
528.000,2129.146
529.000,2030.260
530.000,2020.450
531.000,1958.910
532.000,1883.661
533.000,1836.775
534.000,1792.143
535.000,1710.508
536.000,1642.972
537.000,1569.120
538.000,1564.290
539.000,1517.531
540.000,1470.892
541.000,1432.411
542.000,1362.185
543.000,1333.549
544.000,1289.313
545.000,1252.722
546.000,1191.744
547.000,1165.911
548.000,1123.624
549.000,1078.850
550.000,1040.616
551.000,1004.304
552.000,950.712
553.000,913.742
554.000,876.800
555.000,838.388
556.000,809.107
557.000,758.676
558.000,741.617
559.000,715.953
560.000,684.765
561.000,654.384
562.000,621.983
563.000,601.626
564.000,574.397
565.000,546.207
566.000,528.460
567.000,492.787
568.000,478.346
569.000,469.880
570.000,447.854
571.000,429.621
572.000,412.567
573.000,396.710
574.000,379.780
575.000,364.744
