24/03/2022 10:22:48
Spectrometer: USB2G54090
Integration time (ms): 650.0
Scans averaged: 10

Wavelength,Intensity
350.000,2.693
351.000,3.986
352.000,1.611
353.000,1.748
354.000,0.895
355.000,4.321
356.000,0.879
357.000,0.251
358.000,1.434
359.000,-1.275
360.000,-3.463
361.000,-6.241
362.000,-10.288
363.000,-17.087
364.000,-23.543
365.000,-32.419
366.000,-39.139
367.000,-59.663
368.000,-76.592
369.000,-94.610
370.000,-103.612
371.000,-116.205
372.000,-117.016
373.000,-112.055
374.000,-137.382
375.000,-125.511
376.000,-93.006
377.000,-79.360
378.000,-62.410
379.000,-38.754
380.000,-16.482
381.000,11.283
382.000,32.803
383.000,64.799
384.000,87.699
385.000,123.417
386.000,168.875
387.000,206.590
388.000,261.443
389.000,312.807
390.000,376.922
391.000,463.232
392.000,533.623
393.000,657.854
394.000,728.329
395.000,818.246
396.000,979.713
397.000,1116.862
398.000,1197.782
399.000,1305.140
400.000,1427.151
401.000,1547.571
402.000,1671.027
403.000,1810.518
404.000,1904.288
405.000,2023.299
406.000,2112.736
407.000,2160.647
408.000,2272.813
409.000,2363.848
410.000,2494.785
411.000,2633.175
412.000,2647.000
413.000,2725.104
414.000,2731.018
415.000,2834.487
416.000,2873.673
417.000,2888.696
418.000,2927.675
419.000,2996.827
420.000,3040.424
421.000,2985.609
422.000,3000.535
423.000,3005.518
424.000,2992.495
425.000,2863.119
426.000,2938.187
427.000,2896.557
428.000,2848.724
429.000,2836.488
430.000,2847.233
431.000,2859.850
432.000,2795.156
433.000,2748.469
434.000,2760.826
435.000,2722.385
436.000,2677.258
437.000,2697.632
438.000,2626.336
439.000,2641.108
440.000,2575.999
441.000,2491.608
442.000,2463.388
443.000,2489.886
444.000,2392.265
445.000,2330.648
446.000,2287.840
447.000,2152.083
448.000,2103.918
449.000,1953.381
450.000,1982.154
451.000,1910.559
452.000,1780.173
453.000,1709.507
454.000,1635.968
455.000,1565.583
456.000,1516.795
457.000,1482.518
458.000,1402.049
459.000,1376.925
460.000,1347.458
461.000,1278.539
462.000,1256.639
463.000,1201.261
464.000,1174.738
465.000,1138.525
466.000,1124.344
467.000,1071.424
468.000,1080.686
469.000,1049.466
470.000,1001.031
471.000,1025.381
472.000,993.274
473.000,941.033
474.000,948.984
475.000,926.790
476.000,907.759
477.000,962.012
478.000,901.607
479.000,854.065
480.000,875.244
481.000,864.576
482.000,845.670
483.000,840.520
484.000,834.103
485.000,808.097
486.000,805.473
487.000,784.502
488.000,753.887
489.000,769.366
490.000,745.074
491.000,724.645
492.000,704.207
493.000,680.794
494.000,673.583
495.000,624.720
496.000,626.696
497.000,604.073
498.000,572.259
499.000,555.033
500.000,525.771
501.000,505.816
502.000,497.505
503.000,465.993
504.000,450.169
505.000,433.884
506.000,417.904
507.000,395.798
508.000,374.827
509.000,362.359
510.000,336.770
511.000,331.207
512.000,306.956
513.000,302.259
514.000,275.209
515.000,295.771
516.000,249.206
517.000,256.906
518.000,249.473
519.000,221.486
520.000,206.691
521.000,195.564
522.000,187.223
523.000,178.765
524.000,170.310
525.000,161.617
526.000,153.898
527.000,143.131
528.000,136.908
529.000,132.950
530.000,128.459
531.000,118.224
532.000,110.506
533.000,108.626
534.000,102.169
535.000,93.161
536.000,83.260
537.000,87.093
538.000,82.718
539.000,78.852
540.000,82.265
541.000,71.713
542.000,69.946
543.000,59.985
544.000,63.688
545.000,59.381
546.000,57.800
547.000,54.578
548.000,50.896
549.000,52.072
550.000,47.278
551.000,45.290
552.000,42.992
553.000,39.754
554.000,37.451
555.000,37.064
556.000,33.657
557.000,36.376
558.000,30.488
559.000,27.825
560.000,26.079
561.000,25.686
562.000,23.501
563.000,25.722
564.000,19.425
565.000,21.244
566.000,20.278
567.000,16.089
568.000,13.810
569.000,13.853
570.000,14.120
571.000,13.350
572.000,12.656
573.000,13.778
574.000,12.561
575.000,11.421
576.000,14.768
577.000,12.006
578.000,9.235
579.000,10.170
580.000,9.675
581.000,9.541
582.000,7.933
583.000,7.707
584.000,6.641
585.000,8.272
586.000,5.385
587.000,5.702
588.000,5.709
589.000,6.308
590.000,4.435
591.000,5.250
592.000,4.456
593.000,4.609
594.000,2.011
595.000,3.773
596.000,3.081
597.000,2.584
598.000,2.358
599.000,2.655
600.000,1.968
601.000,2.197
602.000,1.977
603.000,0.987
604.000,-0.198
605.000,1.387
606.000,1.330
607.000,2.511
608.000,1.354
609.000,2.448
610.000,2.580
611.000,2.378
612.000,0.932
613.000,12.932
614.000,1.796
615.000,1.650
616.000,1.482
617.000,2.558
618.000,4.358
619.000,1.982
620.000,-1.342
621.000,-0.057
622.000,3.446
623.000,1.065
624.000,0.495
625.000,0.024
626.000,-0.241
627.000,0.345
628.000,0.754
629.000,0.124
630.000,0.428
631.000,0.161
632.000,-0.475
633.000,0.329
634.000,92.038
635.000,1.515
636.000,1.114
637.000,-1.272
638.000,-0.883
639.000,-1.118
640.000,-1.254
641.000,-1.798
642.000,-1.107
643.000,-0.500
644.000,-2.070
645.000,-0.299
646.000,-1.480
647.000,0.793
648.000,-1.555
649.000,-1.798
650.000,-0.898
651.000,-1.782
652.000,-2.706
653.000,-1.293
654.000,-1.272
655.000,-0.841
656.000,-0.857
657.000,-1.048
658.000,0.078
659.000,-0.117
660.000,0.081
661.000,-0.933
662.000,-2.584
663.000,-0.662
664.000,-0.787
665.000,-1.696
666.000,-0.248
667.000,-0.614
668.000,-2.403
669.000,-1.939
670.000,-0.629
671.000,-0.690
672.000,-2.148
673.000,-1.640
674.000,-2.185
675.000,-3.497
676.000,-1.034
677.000,-2.405
678.000,-2.152
679.000,-0.896
680.000,-2.392
681.000,-1.946
682.000,-1.229
683.000,-0.801
684.000,-0.676
685.000,-0.960
686.000,-1.310
687.000,-0.929
688.000,-1.909
689.000,-1.206
690.000,-1.891
691.000,-1.660
692.000,-0.911
693.000,-2.129
694.000,-3.002
695.000,-3.202
696.000,-1.406
697.000,-2.901
698.000,-3.222
699.000,-2.192
700.000,0.862
701.000,-0.648
702.000,-2.073
703.000,-2.358
704.000,-0.518
705.000,-2.236
706.000,-1.920
707.000,-2.033
708.000,-2.169
709.000,-2.929
710.000,-2.334
711.000,-0.709
712.000,-0.185
713.000,-2.414
714.000,-2.396
715.000,-3.240
716.000,-1.128
717.000,-2.505
718.000,-3.578
719.000,-1.262
720.000,-1.092
721.000,-0.974
722.000,-0.911
723.000,-1.733
724.000,-1.915
725.000,-2.655
726.000,-1.195
727.000,-2.826
728.000,-1.462
729.000,-2.508
730.000,-2.055
731.000,-1.519
732.000,-2.983
733.000,-0.742
734.000,-2.319
735.000,-1.160
736.000,-0.420
737.000,-2.431
738.000,0.898
739.000,-0.793
740.000,-0.976
741.000,-3.117
742.000,-2.255
743.000,-2.437
744.000,-1.556
745.000,0.159
746.000,-4.205
747.000,-2.791
748.000,0.286
749.000,-4.287
750.000,-1.198
751.000,-1.333
752.000,0.138
753.000,-1.141
754.000,-1.092
755.000,-3.643
756.000,-2.519
757.000,-0.301
758.000,-1.437
759.000,-1.578
760.000,-1.286
761.000,-3.010
762.000,-3.931
763.000,-2.340
764.000,-2.811
765.000,-2.853
766.000,-2.664
767.000,-2.507
768.000,-4.270
769.000,-3.756
770.000,-3.917
771.000,-2.998
772.000,-2.489
773.000,-2.398
774.000,-1.625
775.000,-2.988
776.000,-2.764
777.000,-2.149
778.000,-2.429
779.000,-2.587
780.000,1.069
781.000,-1.422
782.000,-1.531
783.000,-1.777
784.000,-2.771
785.000,-1.268
786.000,-3.721
787.000,-3.396
788.000,-1.666
789.000,-2.239
790.000,-2.097
791.000,-0.436
792.000,-2.117
793.000,-3.627
794.000,-3.648
795.000,-2.848
796.000,-3.583
797.000,-2.555
798.000,-1.893
799.000,-1.060
800.000,-2.910
801.000,1.294
802.000,-1.500
803.000,-3.292
804.000,-2.358
805.000,-4.298
806.000,-1.283
807.000,-1.486
808.000,-2.321
809.000,-1.117
810.000,-2.147
811.000,-2.220
812.000,-1.803
813.000,-3.600
814.000,-1.710
815.000,-3.667
816.000,-2.430
817.000,-2.549
818.000,2.189
819.000,-0.549
820.000,-2.065
821.000,-2.586
822.000,-4.323
823.000,-1.400
824.000,-0.988
825.000,-1.785
826.000,-3.648
827.000,-3.164
828.000,-3.114
829.000,-1.789
830.000,-0.821
831.000,-1.591
832.000,-2.078
833.000,-3.400
834.000,-1.632
835.000,-3.491
836.000,-2.162
837.000,-2.216
838.000,-2.298
839.000,-1.660
840.000,-1.845
841.000,-2.960
842.000,-3.543
843.000,-0.192
844.000,-2.676
845.000,-2.704
846.000,-1.592
847.000,-3.332
848.000,-3.133
849.000,-2.814
850.000,0.273
851.000,-1.919
852.000,-3.295
853.000,-1.742
854.000,-1.610
855.000,-2.611
856.000,-2.997
857.000,-2.219
858.000,-2.097
859.000,-2.356
860.000,-0.128
861.000,0.727
862.000,-3.489
863.000,-1.624
864.000,-0.672
865.000,-2.272
866.000,-5.081
867.000,-5.254
868.000,-1.326
869.000,-2.407
