24/03/2022 10:09:35
Spectrometer: USB2G54090
Integration time (ms): 850.0
Scans averaged: 10

Wavelength,Intensity
350.000,-0.683
351.000,-0.313
352.000,-0.991
353.000,-0.411
354.000,-1.546
355.000,-4.262
356.000,-1.208
357.000,-1.189
358.000,-3.861
359.000,-3.365
360.000,-6.727
361.000,-7.189
362.000,-9.779
363.000,-12.012
364.000,-14.035
365.000,-21.162
366.000,-25.207
367.000,-32.372
368.000,-41.514
369.000,-49.942
370.000,-50.369
371.000,-42.910
372.000,-70.532
373.000,-48.395
374.000,-53.482
375.000,-58.000
376.000,-43.327
377.000,-38.072
378.000,-34.486
379.000,-32.398
380.000,-26.305
381.000,-22.852
382.000,-20.407
383.000,-16.707
384.000,3.076
385.000,0.472
386.000,-33.904
387.000,-51.852
388.000,-2.619
389.000,-3.118
390.000,-2.499
391.000,-0.011
392.000,-4.956
393.000,-1.908
394.000,0.645
395.000,-0.537
396.000,1.084
397.000,0.588
398.000,-0.292
399.000,0.286
400.000,0.608
401.000,0.527
402.000,0.848
403.000,1.536
404.000,1.028
405.000,1.459
406.000,4.510
407.000,2.643
408.000,2.589
409.000,4.222
410.000,3.284
411.000,2.958
412.000,5.161
413.000,4.906
414.000,4.246
415.000,5.126
416.000,4.734
417.000,4.192
418.000,4.185
419.000,5.661
420.000,6.803
421.000,7.124
422.000,5.253
423.000,5.872
424.000,6.139
425.000,5.504
426.000,5.929
427.000,6.979
428.000,7.843
429.000,8.143
430.000,8.739
431.000,8.383
432.000,7.763
433.000,9.435
434.000,9.172
435.000,9.404
436.000,11.035
437.000,9.452
438.000,13.093
439.000,13.588
440.000,15.101
441.000,14.439
442.000,16.241
443.000,17.503
444.000,18.834
445.000,19.198
446.000,20.386
447.000,22.105
448.000,24.447
449.000,25.429
450.000,27.855
451.000,30.991
452.000,31.933
453.000,36.726
454.000,36.497
455.000,39.456
456.000,44.537
457.000,48.465
458.000,50.719
459.000,61.055
460.000,66.619
461.000,65.752
462.000,78.538
463.000,83.612
464.000,97.712
465.000,107.917
466.000,121.765
467.000,131.881
468.000,154.604
469.000,167.463
470.000,175.966
471.000,217.260
472.000,229.415
473.000,226.015
474.000,282.421
475.000,310.856
476.000,346.475
477.000,417.213
478.000,432.598
479.000,455.629
480.000,525.872
481.000,583.339
482.000,631.236
483.000,703.532
484.000,783.361
485.000,845.532
486.000,928.598
487.000,1012.940
488.000,1077.734
489.000,1225.727
490.000,1296.941
491.000,1396.286
492.000,1496.673
493.000,1597.760
494.000,1741.518
495.000,1805.894
496.000,1964.089
497.000,2047.657
498.000,2139.308
499.000,2263.900
500.000,2330.003
501.000,2454.505
502.000,2598.608
503.000,2648.039
504.000,2755.938
505.000,2861.435
506.000,2987.471
507.000,3064.839
508.000,3097.531
509.000,3181.505
510.000,3209.809
511.000,3362.576
512.000,3397.012
513.000,3519.369
514.000,3502.839
515.000,3592.413
516.000,3613.105
517.000,3593.685
518.000,3709.037
519.000,3714.257
520.000,3752.943
521.000,3795.498
522.000,3812.389
523.000,3816.669
524.000,3775.426
525.000,3830.524
526.000,3770.445
527.000,3747.095
528.000,3761.918
529.000,3713.244
530.000,3771.850
531.000,3749.679
532.000,3695.994
533.000,3695.389
534.000,3679.428
535.000,3601.184
536.000,3551.754
537.000,3484.425
538.000,3494.218
539.000,3475.340
540.000,3452.800
541.000,3399.798
542.000,3311.416
543.000,3303.274
544.000,3257.383
545.000,3207.935
546.000,3107.368
547.000,3079.805
548.000,3032.834
549.000,2958.730
550.000,2897.989
551.000,2838.032
552.000,2743.532
553.000,2697.644
554.000,2604.293
555.000,2511.756
556.000,2459.338
557.000,2364.470
558.000,2320.707
559.000,2253.575
560.000,2179.062
561.000,2129.254
562.000,2029.737
563.000,1990.095
564.000,1912.648
565.000,1854.309
566.000,1797.558
567.000,1727.944
568.000,1672.131
569.000,1658.110
570.000,1591.622
571.000,1534.563
572.000,1479.246
573.000,1447.266
574.000,1406.002
575.000,1357.277
576.000,1323.940
577.000,1277.273
578.000,1254.696
579.000,1207.306
580.000,1167.375
581.000,1130.008
582.000,1079.951
583.000,1045.845
584.000,1040.463
585.000,987.870
586.000,955.724
587.000,915.390
588.000,891.901
589.000,869.971
590.000,848.577
591.000,824.341
592.000,789.490
593.000,764.432
594.000,743.366
595.000,718.867
596.000,683.004
597.000,663.888
598.000,645.632
599.000,624.866
600.000,606.835
601.000,583.107
602.000,558.595
603.000,537.012
604.000,521.592
605.000,488.576
606.000,482.611
607.000,458.511
608.000,445.996
609.000,429.134
610.000,413.259
611.000,396.121
612.000,390.839
613.000,370.637
614.000,349.016
615.000,357.473
616.000,328.713
617.000,319.590
618.000,297.031
619.000,291.061
620.000,275.822
621.000,276.542
622.000,292.981
623.000,248.266
624.000,243.595
625.000,241.371
626.000,230.690
627.000,219.629
628.000,209.225
629.000,203.759
630.000,197.580
631.000,189.772
632.000,188.019
633.000,175.937
634.000,214.467
635.000,161.287
636.000,157.411
637.000,151.697
638.000,154.644
639.000,146.294
640.000,135.732
641.000,133.503
642.000,127.377
643.000,124.741
644.000,121.253
645.000,113.699
646.000,112.253
647.000,110.596
648.000,105.797
649.000,100.875
650.000,98.267
651.000,95.259
652.000,91.992
653.000,89.692
654.000,82.226
655.000,79.632
656.000,83.477
657.000,71.793
658.000,71.806
659.000,74.082
660.000,68.940
661.000,64.973
662.000,63.022
663.000,73.571
664.000,57.150
665.000,57.302
666.000,60.085
667.000,53.959
668.000,52.421
669.000,46.067
670.000,48.412
671.000,51.254
672.000,40.223
673.000,40.766
674.000,42.418
675.000,40.412
676.000,36.275
677.000,34.267
678.000,33.645
679.000,31.964
680.000,32.409
681.000,30.008
682.000,29.899
683.000,27.658
684.000,29.124
685.000,24.885
686.000,23.975
687.000,23.174
688.000,23.027
689.000,20.816
690.000,20.756
691.000,20.699
692.000,19.826
693.000,19.921
694.000,19.800
695.000,19.151
696.000,18.795
697.000,14.446
698.000,15.827
699.000,16.035
700.000,18.140
701.000,16.349
702.000,13.575
703.000,13.536
704.000,13.825
705.000,10.311
706.000,11.630
707.000,10.575
708.000,11.347
709.000,9.493
710.000,10.276
711.000,10.374
712.000,10.767
713.000,9.299
714.000,8.000
715.000,8.847
716.000,7.689
717.000,7.377
718.000,8.741
719.000,6.849
720.000,9.897
721.000,8.396
722.000,7.190
723.000,7.167
724.000,5.806
725.000,5.512
726.000,4.486
727.000,4.393
728.000,6.252
729.000,4.520
730.000,5.181
731.000,4.366
732.000,4.729
733.000,4.943
734.000,2.805
735.000,2.052
736.000,3.244
737.000,3.288
738.000,4.304
739.000,2.316
740.000,2.993
741.000,1.838
742.000,2.014
743.000,2.065
744.000,3.673
745.000,4.205
746.000,1.891
747.000,1.595
748.000,1.415
749.000,0.957
750.000,0.724
751.000,0.410
752.000,0.517
753.000,3.212
754.000,3.053
755.000,0.896
756.000,0.490
757.000,-0.171
758.000,0.041
759.000,0.177
760.000,0.733
761.000,1.109
762.000,0.468
763.000,1.238
764.000,0.182
765.000,0.732
766.000,-1.482
767.000,0.776
768.000,1.709
769.000,-0.221
770.000,-0.895
771.000,-1.095
772.000,-2.189
773.000,-0.474
774.000,0.495
775.000,-1.321
776.000,-1.469
777.000,-1.454
778.000,-2.137
779.000,0.139
780.000,-1.260
781.000,-0.360
782.000,-2.068
783.000,-1.057
784.000,-1.026
785.000,0.728
786.000,-0.726
787.000,-0.739
788.000,-1.786
789.000,-2.277
790.000,-0.498
791.000,0.905
792.000,-0.698
793.000,-0.487
794.000,-1.595
795.000,-3.256
796.000,-1.464
797.000,-1.139
798.000,-1.087
799.000,-1.750
800.000,0.223
801.000,-1.275
802.000,-1.763
803.000,-0.992
804.000,-2.416
805.000,-1.444
806.000,0.000
807.000,-0.079
808.000,-0.142
809.000,-1.747
810.000,-1.064
811.000,-3.800
812.000,-2.330
813.000,-1.315
814.000,-1.315
815.000,-0.597
816.000,-0.523
817.000,-1.757
818.000,-0.270
819.000,-1.119
820.000,-0.003
821.000,-1.551
822.000,-2.614
823.000,-1.900
824.000,-3.006
825.000,-1.373
826.000,-2.566
827.000,-0.656
828.000,-1.665
829.000,-2.405
830.000,-1.226
831.000,-1.162
832.000,-2.363
833.000,-1.246
834.000,-1.161
835.000,-2.682
836.000,-2.489
837.000,-1.821
838.000,-1.871
839.000,-2.639
840.000,-1.564
841.000,-2.264
842.000,-1.965
843.000,0.525
844.000,-2.372
