08/03/2022 11:35:20
Spectrometer: USB2G54089
Integration time (ms): 1250.0
Scans averaged: 5

Wavelength,Intensity
350.000,5.736
351.000,-1.200
352.000,0.751
353.000,1.243
354.000,1.965
355.000,7.279
356.000,-0.121
357.000,1.439
358.000,-0.070
359.000,-5.915
360.000,-4.291
361.000,-6.206
362.000,-12.407
363.000,-11.724
364.000,-21.541
365.000,-25.282
366.000,-31.582
367.000,-39.320
368.000,-38.081
369.000,-37.895
370.000,-54.055
371.000,-59.858
372.000,-70.501
373.000,-41.888
374.000,-37.850
375.000,-22.944
376.000,-9.597
377.000,-0.117
378.000,7.272
379.000,15.743
380.000,25.273
381.000,47.398
382.000,59.543
383.000,77.624
384.000,100.358
385.000,128.516
386.000,161.323
387.000,191.485
388.000,235.359
389.000,287.298
390.000,336.721
391.000,396.639
392.000,475.509
393.000,534.240
394.000,620.140
395.000,693.714
396.000,775.660
397.000,862.968
398.000,931.875
399.000,1017.510
400.000,1125.707
401.000,1193.952
402.000,1281.446
403.000,1378.605
404.000,1458.783
405.000,1554.068
406.000,1651.373
407.000,1711.542
408.000,1792.490
409.000,1841.368
410.000,1932.399
411.000,1941.250
412.000,2010.768
413.000,2049.683
414.000,2097.072
415.000,2131.365
416.000,2097.818
417.000,2137.886
418.000,2144.406
419.000,2144.219
420.000,2172.342
421.000,2229.655
422.000,2197.306
423.000,2224.901
424.000,2184.922
425.000,2214.817
426.000,2233.694
427.000,2188.916
428.000,2213.703
429.000,2215.936
430.000,2210.406
431.000,2200.538
432.000,2165.086
433.000,2164.477
434.000,2136.717
435.000,2143.547
436.000,2053.186
437.000,2063.834
438.000,2039.498
439.000,1965.989
440.000,1938.182
441.000,1897.480
442.000,1866.151
443.000,1779.403
444.000,1744.737
445.000,1672.081
446.000,1628.985
447.000,1567.815
448.000,1520.632
449.000,1491.958
450.000,1419.904
451.000,1375.226
452.000,1338.396
453.000,1279.511
454.000,1243.664
455.000,1230.811
456.000,1184.276
457.000,1144.575
458.000,1113.334
459.000,1086.793
460.000,1050.723
461.000,1014.681
462.000,1002.190
463.000,968.804
