08/03/2022 09:24:09
Spectrometer: USB2G54089
Integration time (ms): 1000.0
Scans averaged: 10

Wavelength,Intensity
350.000,0.747
351.000,-1.424
352.000,1.829
353.000,-4.184
354.000,-2.771
355.000,-4.486
356.000,-5.847
357.000,-6.825
358.000,-12.140
359.000,-14.470
360.000,-20.604
361.000,-25.496
362.000,-32.193
363.000,-48.286
364.000,-56.079
365.000,-69.870
366.000,-85.811
367.000,-100.299
368.000,-108.376
369.000,-114.367
370.000,-134.961
371.000,-120.802
372.000,-119.461
373.000,-128.354
374.000,-111.250
375.000,-98.089
376.000,-88.553
377.000,-78.558
378.000,-58.882
379.000,-52.771
380.000,-43.881
381.000,-33.770
382.000,-29.884
383.000,-25.174
384.000,-21.846
385.000,-17.594
386.000,-14.611
387.000,-11.022
388.000,-12.253
389.000,-9.463
390.000,-10.305
391.000,-7.344
392.000,-5.555
393.000,-1.062
394.000,-2.823
395.000,-3.449
396.000,-2.222
397.000,-0.542
398.000,0.770
399.000,0.978
400.000,-1.694
401.000,-1.946
402.000,3.298
403.000,0.509
404.000,3.161
405.000,0.839
406.000,1.760
407.000,4.991
408.000,3.178
409.000,2.392
410.000,3.644
411.000,2.471
412.000,3.577
413.000,7.113
414.000,4.528
415.000,3.925
416.000,6.610
417.000,5.514
418.000,2.717
419.000,4.823
420.000,4.314
421.000,2.373
422.000,5.202
423.000,4.605
424.000,5.348
425.000,6.142
426.000,6.556
427.000,5.479
428.000,6.241
429.000,4.533
430.000,5.498
431.000,7.520
432.000,6.131
433.000,6.004
434.000,6.279
435.000,2.493
436.000,4.837
437.000,5.504
438.000,7.601
439.000,5.757
440.000,7.545
441.000,6.971
442.000,8.294
443.000,10.005
444.000,10.945
445.000,10.004
446.000,11.786
447.000,10.986
448.000,10.527
449.000,8.896
450.000,8.550
451.000,13.773
452.000,15.585
453.000,14.923
454.000,20.740
455.000,16.368
456.000,20.011
457.000,22.145
458.000,21.981
459.000,26.335
460.000,25.513
461.000,31.832
462.000,29.846
463.000,36.259
464.000,39.836
465.000,38.163
466.000,46.803
467.000,51.165
468.000,57.585
469.000,62.987
470.000,70.068
471.000,75.186
472.000,80.222
473.000,89.258
474.000,99.434
475.000,115.346
476.000,123.396
477.000,135.573
478.000,152.159
479.000,166.150
480.000,184.357
481.000,207.217
482.000,230.434
483.000,246.088
484.000,279.441
485.000,301.370
486.000,339.255
487.000,372.274
488.000,401.426
489.000,437.210
490.000,470.775
491.000,523.284
492.000,550.144
493.000,591.447
494.000,628.575
495.000,669.123
496.000,698.009
497.000,751.314
498.000,788.198
499.000,827.130
500.000,849.579
501.000,908.691
502.000,936.402
503.000,954.788
504.000,986.048
505.000,1044.209
506.000,1066.393
507.000,1090.883
508.000,1110.996
509.000,1141.808
510.000,1167.578
511.000,1207.919
512.000,1229.712
513.000,1257.984
514.000,1280.793
515.000,1300.864
516.000,1318.088
517.000,1343.606
518.000,1364.357
519.000,1370.965
520.000,1399.582
521.000,1415.875
522.000,1419.139
523.000,1414.585
524.000,1423.213
525.000,1421.897
526.000,1418.947
527.000,1407.955
528.000,1417.104
529.000,1409.811
530.000,1406.196
531.000,1395.548
532.000,1401.357
533.000,1377.443
534.000,1370.978
535.000,1362.058
536.000,1348.747
537.000,1335.010
538.000,1315.072
539.000,1300.537
540.000,1282.095
541.000,1256.173
542.000,1242.898
543.000,1222.285
544.000,1198.499
545.000,1181.565
546.000,1155.890
547.000,1131.199
548.000,1088.447
549.000,1074.530
550.000,1056.457
551.000,1026.092
552.000,1013.710
553.000,997.318
554.000,967.430
555.000,936.948
556.000,922.128
557.000,888.625
558.000,870.324
559.000,837.135
560.000,808.884
561.000,801.870
562.000,769.040
563.000,755.986
564.000,734.587
565.000,711.378
566.000,688.497
567.000,681.265
568.000,645.552
569.000,632.852
570.000,611.239
571.000,593.493
572.000,576.876
573.000,557.834
574.000,540.683
575.000,525.963
576.000,507.540
577.000,495.575
578.000,471.175
579.000,455.560
580.000,444.874
581.000,428.347
582.000,415.666
583.000,400.468
584.000,390.979
585.000,379.242
586.000,364.409
587.000,355.360
588.000,344.041
589.000,332.997
590.000,317.410
591.000,307.984
592.000,300.662
593.000,288.042
594.000,281.828
595.000,269.392
596.000,266.018
597.000,258.598
598.000,246.566
599.000,239.054
600.000,232.221
601.000,222.941
602.000,216.979
603.000,213.344
604.000,201.722
605.000,199.733
606.000,191.487
607.000,183.845
608.000,182.862
609.000,173.626
610.000,169.726
611.000,165.181
612.000,159.214
613.000,153.235
614.000,149.590
615.000,142.039
616.000,135.877
617.000,130.714
618.000,124.917
619.000,125.081
620.000,123.226
621.000,116.847
622.000,109.802
623.000,107.502
624.000,101.802
625.000,96.728
626.000,100.183
627.000,94.453
628.000,87.154
629.000,86.360
630.000,83.445
631.000,82.036
632.000,75.731
633.000,71.582
634.000,73.342
635.000,72.087
636.000,67.386
637.000,68.569
638.000,67.066
639.000,60.857
640.000,58.068
641.000,57.095
642.000,56.917
643.000,52.469
644.000,53.800
645.000,50.137
646.000,47.643
647.000,44.293
648.000,45.754
649.000,43.497
650.000,42.775
651.000,40.913
652.000,39.105
653.000,38.893
654.000,39.522
655.000,37.582
656.000,31.112
657.000,35.537
658.000,32.080
659.000,28.630
660.000,26.207
661.000,28.038
662.000,24.657
663.000,27.843
664.000,24.936
665.000,25.003
666.000,25.662
667.000,23.438
668.000,21.587
669.000,21.725
670.000,22.009
671.000,20.514
672.000,19.648
673.000,21.993
674.000,17.797
675.000,16.509
676.000,18.561
677.000,21.190
678.000,14.367
679.000,15.983
680.000,17.246
681.000,11.476
682.000,15.210
683.000,13.661
684.000,12.285
685.000,10.951
686.000,12.710
687.000,11.705
688.000,10.828
689.000,12.646
690.000,14.262
691.000,12.559
692.000,6.938
693.000,10.605
694.000,9.800
695.000,6.836
696.000,6.660
697.000,8.807
698.000,3.764
699.000,6.192
700.000,8.160
701.000,7.771
702.000,5.546
703.000,8.848
704.000,5.721
705.000,6.776
706.000,8.444
707.000,5.977
708.000,5.552
709.000,5.592
710.000,4.084
711.000,6.048
712.000,11.599
713.000,2.956
714.000,5.924
715.000,2.537
716.000,4.846
717.000,3.098
718.000,3.361
719.000,0.753
720.000,4.350
721.000,3.786
722.000,1.582
723.000,2.112
724.000,2.435
725.000,3.599
726.000,1.878
727.000,3.299
728.000,6.293
729.000,1.544
730.000,3.522
731.000,3.818
732.000,-0.918
733.000,2.959
734.000,1.659
735.000,1.165
736.000,2.774
737.000,2.703
738.000,-0.050
739.000,2.260
740.000,3.197
741.000,2.269
742.000,2.644
743.000,3.514
744.000,1.346
745.000,0.831
746.000,1.796
747.000,3.624
748.000,2.462
749.000,-0.157
750.000,0.475
751.000,0.476
752.000,0.705
753.000,1.627
754.000,-1.650
755.000,2.234
756.000,2.447
757.000,1.348
758.000,2.777
759.000,2.385
760.000,-1.056
761.000,0.899
762.000,-0.623
763.000,3.582
764.000,3.150
765.000,-2.184
766.000,-20.040
767.000,1.182
768.000,0.769
769.000,0.518
770.000,4.349
771.000,-1.065
772.000,1.500
773.000,-0.058
774.000,0.578
775.000,0.522
776.000,0.585
777.000,-1.164
778.000,-0.157
779.000,1.356
780.000,0.158
781.000,-0.451
782.000,2.757
783.000,2.241
784.000,0.987
785.000,-0.088
786.000,2.344
787.000,-1.074
788.000,-1.060
789.000,2.261
790.000,1.092
791.000,-0.366
792.000,-0.011
793.000,-0.581
794.000,0.575
795.000,1.802
796.000,3.371
797.000,3.023
798.000,0.959
799.000,0.559
800.000,0.077
801.000,2.287
802.000,0.860
803.000,-0.238
804.000,-0.025
805.000,-1.607
806.000,-0.136
807.000,0.684
808.000,0.940
809.000,0.456
810.000,-1.966
811.000,1.367
812.000,3.362
813.000,-0.728
814.000,3.684
815.000,0.450
