24/03/2022 13:48:58
Spectrometer: USB2G54090
Integration time (ms): 185.0
Scans averaged: 15

Wavelength,Intensity
350.000,1.544
351.000,0.930
352.000,0.557
353.000,1.389
354.000,0.718
355.000,1.884
356.000,0.736
357.000,-0.111
358.000,1.101
359.000,0.260
360.000,0.719
361.000,-0.184
362.000,-0.835
363.000,-2.892
364.000,-4.096
365.000,-5.371
366.000,-5.585
367.000,-11.020
368.000,-14.245
369.000,-15.101
370.000,-19.974
371.000,-22.136
372.000,-29.172
373.000,-26.592
374.000,-29.115
375.000,-30.447
376.000,-26.436
377.000,-27.376
378.000,-23.440
379.000,-22.605
380.000,-16.878
381.000,-14.921
382.000,-12.879
383.000,-8.608
384.000,-7.893
385.000,-0.628
386.000,-8.438
387.000,4.164
388.000,-0.859
389.000,0.130
390.000,-0.436
391.000,-1.003
392.000,-0.687
393.000,0.525
394.000,-0.713
395.000,0.821
396.000,1.400
397.000,0.871
398.000,2.895
399.000,2.593
400.000,3.202
401.000,3.681
402.000,3.591
403.000,5.004
404.000,5.116
405.000,3.885
406.000,3.873
407.000,4.425
408.000,5.996
409.000,5.585
410.000,5.752
411.000,6.874
412.000,6.762
413.000,7.136
414.000,7.784
415.000,6.525
416.000,7.970
417.000,8.830
418.000,9.535
419.000,9.054
420.000,9.756
421.000,10.415
422.000,10.765
423.000,12.782
424.000,13.683
425.000,13.886
426.000,13.860
427.000,16.310
428.000,16.575
429.000,18.230
430.000,20.909
431.000,23.448
432.000,23.848
433.000,26.964
434.000,29.034
435.000,33.223
436.000,38.006
437.000,40.471
438.000,45.645
439.000,50.530
440.000,53.594
441.000,60.913
442.000,66.458
443.000,76.430
444.000,83.925
445.000,90.626
446.000,103.000
447.000,107.027
448.000,120.039
449.000,123.763
450.000,143.387
451.000,155.306
452.000,160.469
453.000,177.818
454.000,193.571
455.000,209.854
456.000,222.044
457.000,244.699
458.000,262.367
459.000,285.889
460.000,313.146
461.000,329.550
462.000,362.842
463.000,385.115
464.000,416.928
465.000,450.974
466.000,490.386
467.000,522.603
468.000,581.132
469.000,617.880
470.000,648.547
471.000,732.627
472.000,784.448
473.000,820.517
474.000,895.950
475.000,962.336
476.000,1027.774
477.000,1149.700
478.000,1214.281
479.000,1268.956
480.000,1413.989
481.000,1501.507
482.000,1585.456
483.000,1716.349
484.000,1826.903
485.000,1934.407
486.000,2079.621
487.000,2161.072
488.000,2242.715
489.000,2466.216
490.000,2539.471
491.000,2647.080
492.000,2758.850
493.000,2853.104
494.000,3003.063
495.000,3059.777
496.000,3191.504
497.000,3252.032
498.000,3290.255
499.000,3381.593
500.000,3387.348
501.000,3489.918
502.000,3590.074
503.000,3555.859
504.000,3611.508
505.000,3654.877
506.000,3706.846
507.000,3725.037
508.000,3661.361
509.000,3679.287
510.000,3624.377
511.000,3718.288
512.000,3658.148
513.000,3698.858
514.000,3619.292
515.000,3599.629
516.000,3576.179
517.000,3474.906
518.000,3519.419
519.000,3460.680
520.000,3432.589
521.000,3398.276
522.000,3368.172
523.000,3306.965
524.000,3214.459
525.000,3200.482
526.000,3097.442
527.000,3027.818
528.000,2991.415
529.000,2898.038
530.000,2909.046
531.000,2846.870
532.000,2761.275
533.000,2711.428
534.000,2671.854
535.000,2580.344
536.000,2503.643
537.000,2420.603
538.000,2407.116
539.000,2359.829
540.000,2316.252
541.000,2251.504
542.000,2160.886
543.000,2143.051
544.000,2081.826
545.000,2036.967
546.000,1954.408
547.000,1917.976
548.000,1858.630
549.000,1798.425
550.000,1745.308
551.000,1685.429
552.000,1618.452
553.000,1580.805
554.000,1511.125
555.000,1454.459
556.000,1408.164
557.000,1329.673
558.000,1307.261
559.000,1264.694
560.000,1206.404
561.000,1171.657
562.000,1114.142
563.000,1077.087
564.000,1034.361
565.000,984.592
566.000,961.468
567.000,921.468
568.000,877.372
569.000,865.022
570.000,826.350
571.000,796.138
572.000,765.660
573.000,743.871
574.000,717.156
575.000,688.484
576.000,669.975
577.000,639.449
578.000,626.728
579.000,594.664
580.000,572.228
581.000,551.506
582.000,526.650
583.000,507.416
584.000,502.850
585.000,482.625
586.000,455.313
587.000,439.406
588.000,424.004
589.000,411.944
590.000,402.104
591.000,384.930
592.000,371.435
593.000,354.556
594.000,344.548
595.000,327.868
596.000,312.667
597.000,300.032
598.000,290.249
599.000,281.968
600.000,271.535
601.000,264.273
602.000,248.471
603.000,240.945
604.000,231.195
605.000,215.537
606.000,211.069
607.000,197.737
608.000,190.307
609.000,184.689
610.000,179.288
611.000,171.757
612.000,168.756
613.000,164.848
614.000,150.386
615.000,154.805
616.000,140.090
617.000,138.387
618.000,130.959
619.000,126.643
620.000,121.218
621.000,115.194
622.000,120.335
623.000,104.756
624.000,104.042
625.000,101.808
626.000,94.133
627.000,95.356
628.000,89.300
629.000,89.392
630.000,84.062
631.000,80.998
632.000,78.852
633.000,74.795
634.000,108.156
635.000,66.504
636.000,69.062
637.000,64.622
638.000,63.531
639.000,60.572
640.000,58.227
641.000,57.065
642.000,53.887
643.000,50.472
644.000,48.912
645.000,47.716
646.000,47.901
647.000,47.301
648.000,43.271
649.000,41.013
650.000,39.934
651.000,38.602
652.000,36.777
653.000,35.866
654.000,34.502
655.000,33.283
656.000,33.678
657.000,31.959
658.000,29.955
659.000,29.866
660.000,27.704
661.000,26.057
662.000,26.243
663.000,27.497
664.000,22.940
665.000,22.123
666.000,22.622
667.000,20.894
668.000,21.958
669.000,19.536
670.000,18.903
671.000,19.236
672.000,16.909
673.000,16.298
674.000,15.548
675.000,16.764
676.000,15.262
677.000,13.979
678.000,13.128
679.000,13.147
680.000,12.739
681.000,11.956
682.000,10.700
683.000,11.736
684.000,11.657
685.000,10.850
686.000,10.244
687.000,9.659
688.000,9.692
689.000,9.019
690.000,8.804
691.000,10.010
692.000,8.096
693.000,7.752
694.000,6.536
695.000,8.093
696.000,6.251
697.000,6.692
698.000,7.377
699.000,6.826
700.000,7.702
701.000,6.984
702.000,5.398
703.000,4.878
704.000,6.438
705.000,4.849
706.000,4.448
707.000,4.227
708.000,4.021
709.000,3.208
710.000,3.883
711.000,3.433
712.000,4.093
713.000,3.927
714.000,2.930
715.000,3.011
716.000,4.158
717.000,4.058
718.000,3.218
719.000,5.450
720.000,2.491
721.000,3.042
722.000,3.363
723.000,2.946
724.000,2.881
725.000,2.846
726.000,3.428
727.000,2.589
728.000,2.923
729.000,2.101
730.000,1.764
731.000,2.340
732.000,1.587
733.000,1.215
734.000,1.293
735.000,2.243
736.000,1.227
737.000,1.096
738.000,2.381
739.000,1.639
740.000,0.644
741.000,1.784
742.000,0.510
743.000,0.463
744.000,0.550
745.000,1.017
746.000,1.624
747.000,3.810
748.000,1.713
749.000,0.634
750.000,0.749
751.000,0.852
752.000,-0.029
753.000,-0.063
754.000,2.285
755.000,1.564
756.000,0.278
757.000,0.931
758.000,1.146
759.000,1.863
760.000,1.176
761.000,0.641
762.000,0.838
763.000,0.498
764.000,0.287
765.000,1.278
766.000,0.967
767.000,0.885
768.000,0.010
769.000,0.243
770.000,0.609
771.000,0.333
772.000,0.588
773.000,1.085
774.000,1.116
775.000,-0.199
776.000,-0.035
777.000,-0.093
778.000,0.124
779.000,0.840
780.000,1.070
781.000,1.253
782.000,0.888
783.000,-0.189
784.000,0.374
785.000,0.302
786.000,0.937
787.000,-0.020
788.000,0.458
789.000,0.193
790.000,-1.732
791.000,0.214
792.000,1.021
793.000,-0.734
794.000,0.038
795.000,0.791
796.000,0.141
797.000,-0.303
798.000,-0.475
799.000,-0.594
800.000,-0.828
801.000,0.949
802.000,-0.559
803.000,-1.206
804.000,-0.414
805.000,-1.750
806.000,-0.065
807.000,-0.143
808.000,1.627
809.000,0.212
810.000,0.681
811.000,-1.982
812.000,-0.360
813.000,-0.125
814.000,0.793
815.000,0.705
816.000,0.842
817.000,-0.629
818.000,1.579
819.000,-0.304
820.000,-0.612
821.000,-0.346
822.000,0.493
823.000,-1.133
824.000,0.154
825.000,-0.612
826.000,-0.760
827.000,0.266
828.000,-0.870
829.000,-0.596
830.000,1.256
831.000,0.145
832.000,-0.034
833.000,-0.298
834.000,-0.257
835.000,0.267
836.000,0.082
837.000,-0.355
838.000,-0.023
839.000,-1.050
840.000,-0.294
841.000,-0.015
842.000,-0.475
843.000,0.619
844.000,-0.024
845.000,0.819
846.000,-0.965
847.000,-0.488
848.000,-0.185
849.000,0.279
850.000,0.760
851.000,-0.770
852.000,-0.975
853.000,-0.236
854.000,-0.457
855.000,-0.291
856.000,0.049
857.000,-0.972
858.000,0.869
859.000,-0.479
860.000,-1.279
861.000,-0.623
