24/03/2022 13:27:25
Spectrometer: USB2G54090
Integration time (ms): 320.0
Scans averaged: 20

Wavelength,Intensity
350.000,3.147
351.000,2.547
352.000,2.800
353.000,3.939
354.000,2.053
355.000,5.027
356.000,2.639
357.000,3.731
358.000,5.869
359.000,4.648
360.000,3.158
361.000,3.283
362.000,4.375
363.000,5.335
364.000,3.429
365.000,4.655
366.000,9.096
367.000,6.613
368.000,8.035
369.000,11.194
370.000,13.788
371.000,13.449
372.000,15.578
373.000,17.458
374.000,16.926
375.000,18.620
376.000,14.737
377.000,18.548
378.000,17.887
379.000,17.160
380.000,18.615
381.000,17.449
382.000,16.267
383.000,18.393
384.000,15.604
385.000,20.906
386.000,19.826
387.000,20.880
388.000,25.853
389.000,31.209
390.000,31.144
391.000,36.005
392.000,43.313
393.000,52.569
394.000,57.486
395.000,66.875
396.000,77.570
397.000,86.938
398.000,98.238
399.000,108.582
400.000,121.847
401.000,137.503
402.000,153.279
403.000,176.310
404.000,187.749
405.000,212.574
406.000,229.614
407.000,248.400
408.000,272.473
409.000,298.280
410.000,331.642
411.000,372.931
412.000,398.074
413.000,441.217
414.000,464.145
415.000,511.348
416.000,548.204
417.000,579.727
418.000,632.893
419.000,681.587
420.000,735.575
421.000,769.751
422.000,811.644
423.000,868.702
424.000,915.839
425.000,934.440
426.000,1014.182
427.000,1056.503
428.000,1098.172
429.000,1166.639
430.000,1231.184
431.000,1315.377
432.000,1362.498
433.000,1411.043
434.000,1504.364
435.000,1564.968
436.000,1622.801
437.000,1725.902
438.000,1780.257
439.000,1890.447
440.000,1940.403
441.000,1979.536
442.000,2073.619
443.000,2199.058
444.000,2221.250
445.000,2280.117
446.000,2353.990
447.000,2334.539
448.000,2394.425
449.000,2338.499
450.000,2495.524
451.000,2513.162
452.000,2471.630
453.000,2487.197
454.000,2496.135
455.000,2508.843
456.000,2540.037
457.000,2587.271
458.000,2588.060
459.000,2621.904
460.000,2661.831
461.000,2675.864
462.000,2720.586
463.000,2726.069
464.000,2752.889
465.000,2756.813
466.000,2837.230
467.000,2834.527
468.000,2933.346
469.000,2946.707
470.000,2929.014
471.000,3076.848
472.000,3105.797
473.000,3105.316
474.000,3156.639
475.000,3213.138
476.000,3221.690
477.000,3401.066
478.000,3402.312
479.000,3351.187
480.000,3537.675
481.000,3556.155
482.000,3564.321
483.000,3654.932
484.000,3694.712
485.000,3722.138
486.000,3791.172
487.000,3768.225
488.000,3736.739
489.000,3893.509
490.000,3848.145
491.000,3828.158
492.000,3816.279
493.000,3779.524
494.000,3825.937
495.000,3723.065
496.000,3739.429
497.000,3661.178
498.000,3570.443
499.000,3531.908
500.000,3411.282
501.000,3378.927
502.000,3355.469
503.000,3214.990
504.000,3150.157
505.000,3086.457
506.000,3030.514
507.000,2941.681
508.000,2813.919
509.000,2733.030
510.000,2620.918
511.000,2603.059
512.000,2493.596
513.000,2455.897
514.000,2333.525
515.000,2265.000
516.000,2178.050
517.000,2073.604
518.000,2040.591
519.000,1951.094
520.000,1888.667
521.000,1835.888
522.000,1772.650
523.000,1695.508
524.000,1612.274
525.000,1574.293
526.000,1487.237
527.000,1425.605
528.000,1373.520
529.000,1318.600
530.000,1295.225
531.000,1232.031
532.000,1178.319
533.000,1137.278
534.000,1098.925
535.000,1046.084
536.000,997.528
537.000,947.692
538.000,923.970
539.000,893.973
540.000,874.653
541.000,833.086
542.000,791.318
543.000,768.953
544.000,739.360
545.000,709.315
546.000,670.446
547.000,658.296
548.000,624.554
549.000,602.195
550.000,575.184
551.000,550.736
552.000,526.664
553.000,502.565
554.000,475.298
555.000,450.955
556.000,434.886
557.000,416.739
558.000,397.053
559.000,376.946
560.000,356.042
561.000,341.262
562.000,322.548
563.000,314.871
564.000,292.142
565.000,279.505
566.000,267.823
567.000,248.614
568.000,243.489
569.000,233.926
570.000,221.554
571.000,212.844
572.000,202.995
573.000,197.355
574.000,184.649
575.000,177.266
576.000,170.781
577.000,164.166
578.000,158.334
579.000,148.899
580.000,144.297
581.000,138.290
582.000,129.668
583.000,123.287
584.000,121.017
585.000,117.518
586.000,110.384
587.000,106.525
588.000,102.697
589.000,96.573
590.000,94.198
591.000,89.793
592.000,89.090
593.000,82.565
594.000,79.026
595.000,73.965
596.000,71.122
597.000,67.551
598.000,65.454
599.000,62.043
600.000,62.697
601.000,58.913
602.000,55.524
603.000,54.640
604.000,51.564
605.000,48.292
606.000,47.978
607.000,43.436
608.000,42.081
609.000,42.491
610.000,39.006
611.000,37.784
612.000,35.119
613.000,39.822
614.000,32.434
615.000,34.422
616.000,27.998
617.000,30.481
618.000,29.775
619.000,26.999
620.000,24.723
621.000,26.191
622.000,28.426
623.000,20.685
624.000,21.897
625.000,19.260
626.000,19.639
627.000,19.535
628.000,18.134
629.000,18.695
630.000,16.147
631.000,15.245
632.000,16.074
633.000,14.375
634.000,103.645
635.000,12.956
636.000,13.628
637.000,12.853
638.000,10.892
639.000,12.225
640.000,12.112
641.000,9.760
642.000,11.479
643.000,9.802
644.000,9.396
645.000,8.957
646.000,9.728
647.000,9.841
648.000,8.744
649.000,6.848
650.000,6.902
651.000,6.517
652.000,7.743
653.000,6.121
654.000,5.929
655.000,7.533
656.000,6.634
657.000,5.739
658.000,5.097
659.000,5.570
660.000,4.234
661.000,4.401
662.000,5.714
663.000,7.626
664.000,6.036
665.000,6.574
666.000,5.192
667.000,4.659
668.000,4.842
669.000,4.057
670.000,3.870
671.000,3.993
672.000,3.604
673.000,3.439
674.000,2.996
675.000,3.525
676.000,3.352
677.000,4.081
678.000,3.008
679.000,2.099
680.000,1.768
681.000,3.517
682.000,0.651
683.000,3.117
684.000,4.365
685.000,1.510
686.000,2.482
687.000,1.495
688.000,0.260
689.000,2.539
690.000,0.946
691.000,1.610
692.000,1.421
693.000,1.191
694.000,1.484
695.000,0.963
696.000,2.269
697.000,2.136
698.000,0.512
699.000,0.837
700.000,5.017
701.000,3.432
702.000,2.441
703.000,1.186
704.000,2.455
705.000,1.000
706.000,0.723
707.000,1.094
708.000,1.373
709.000,1.747
710.000,-0.050
711.000,0.314
712.000,2.370
713.000,0.869
714.000,-1.146
715.000,0.584
716.000,0.051
717.000,0.797
718.000,-0.057
